"Alpha","Points:0","Points:1","Points:2","V:0","V:1","V:2","Wave_Drag","Wave_Drag_2D","Wave_Height","Wave_Height_2D","Wave_slope"
0.22728,60,2,-605.39,7.8244,0.40245,0.12272,0.049878,0.0074094,0.16735,0.071389,0.02015
0.2298,68,2,-605.39,8.4,0.38437,0.69172,0.063755,0.010039,-0.07031,-0.010323,0.014257
0.1837,76,2,-605.39,9.0339,0.26194,1.2242,0.072765,0.014084,0.051957,0.061524,-0.015613
0.17205,84,2,-605.39,9.0188,0.27975,0.69471,0.070098,0.013266,0.23163,0.19163,-0.017362
0.19469,92,2,-605.39,8.4323,0.34666,-0.73626,0.059517,0.0096546,0.17132,0.10596,-0.084397
0.2304,100,2,-605.39,8.1798,0.22287,-1.41,0.059066,0.0091158,-0.28116,-0.22876,-0.013841
0.21816,108,2,-605.39,8.8375,-0.15871,-0.513,0.075,0.012918,-0.41927,-0.40935,-0.023226
0.20842,116,2,-605.39,9.6332,-0.40192,0.99352,0.096608,0.019648,-0.49785,-0.36985,0.044146
0.20273,124,2,-605.39,9.3103,-0.15612,1.775,0.083181,0.015267,0.19157,0.1058,0.11021
0.17895,132,2,-605.39,7.9981,0.28509,1.2347,0.043239,0.0056973,0.36634,0.26062,-0.079529
0.30976,140,2,-605.39,6.9744,0.55535,0.1225,0.033825,0.0038593,-0.093205,0.067847,0.044387
0.29462,148,2,-605.39,7.2809,0.40978,-0.12575,0.045687,0.0062488,0.41357,0.30095,0.10451
0.19739,156,2,-605.39,9.0974,-0.098838,0.80858,0.083602,0.015856,0.24465,0.21503,-0.10759
0.24326,164,2,-605.39,11.129,-0.3767,1.8595,0.16778,0.035955,-0.10197,-0.034221,0.017284
0.2063,172,2,-605.39,11.468,-0.10358,1.9073,0.1623,0.038323,-0.042112,-0.052493,0.013262
0.18995,180,2,-605.39,10.269,0.070226,0.99694,0.10437,0.019822,-0.044542,-0.064186,0.00047761
0.24744,188,2,-605.39,9.4169,-0.16118,-0.091588,0.092037,0.013766,-0.16483,-0.091581,0.062901
0.19812,4,2,-595.55,9.5156,0.56586,0.11305,0.086471,0.013609,-0.19713,-0.20798,-0.039439
0.22783,12,2,-595.55,9.0171,0.33425,0.15719,0.077776,0.01265,-0.1803,-0.14351,0.045791
0.24348,20,2,-595.55,8.1657,-0.032093,-0.42879,0.057974,0.0086089,0.057296,0.042744,0.065123
0.23323,28,2,-595.55,7.8302,-0.28054,-0.82573,0.050447,0.0071532,0.20758,0.16815,-0.0035568
0.2657,36,2,-595.55,8.2875,-0.23893,-0.41341,0.067768,0.010701,0.12128,0.1222,0.03268
0.19799,44,2,-595.55,8.8492,-0.029305,0.23606,0.069496,0.012158,0.040493,0.018751,-0.064719
0.19417,52,2,-595.55,8.6928,0.052909,0.11815,0.063002,0.010942,-0.17074,-0.079187,0.00016628
0.2125,60,2,-595.55,7.923,-0.0064276,-0.50443,0.047749,0.0069538,0.16735,0.071389,0.02015
0.2423,68,2,-595.55,7.28,0.052503,-0.64788,0.03638,0.0044749,-0.07031,-0.010323,0.014257
0.19977,76,2,-595.55,7.1465,0.15989,-0.16516,0.031061,0.0040088,0.051957,0.061524,-0.015613
0.18254,84,2,-595.55,7.3935,0.034397,-0.012507,0.035757,0.0048588,0.23163,0.19163,-0.017362
0.20434,92,2,-595.55,7.6812,-0.19879,-0.79839,0.044316,0.0063047,0.17132,0.10596,-0.084397
0.23111,100,2,-595.55,7.7333,-0.15629,-1.6291,0.046906,0.0066234,-0.28116,-0.22876,-0.013841
0.23012,108,2,-595.55,7.6345,0.1207,-1.052,0.043107,0.0057879,-0.41927,-0.40935,-0.023226
