"Alpha","Points:0","Points:1","Points:2","V:0","V:1","V:2","Wave_Drag","Wave_Drag_2D","Wave_Height","Wave_Height_2D","Wave_slope"
0.76006,52,2,-605.39,4.3858,0.28444,-0.52107,0.0097977,0.00026279,0.11985,0.11555,0.11691
0.76006,60,2,-605.39,3.8772,0.19362,-0.27065,0.002092,1.7972e-05,0.48079,0.385,0.059347
0.76006,68,2,-605.39,3.6204,0.021981,-0.15634,0.00034315,5.3074e-07,0.267,0.17831,-0.23125
0.76006,76,2,-605.39,3.5137,-0.11056,-0.36479,0,0,-0.4789,-0.31728,-0.12278
0.76006,84,2,-605.39,3.6209,-0.099191,-0.55672,0.00066677,2.4521e-06,-0.25504,-0.24134,0.037108
0.76006,92,2,-605.39,3.7702,0.03629,-0.44277,0.0021219,1.4084e-05,0.051028,-0.0045628,0.00053704
0.76006,100,2,-605.39,3.8243,0.10284,-0.16063,0.0027985,2.1417e-05,0.023547,0.075917,0.0020109
0.76006,108,2,-605.39,3.8957,0.080024,-0.26218,0.0037568,4.2987e-05,0.31029,0.21661,0.067077
0.76006,116,2,-605.39,3.981,0.030428,-0.62541,0.0038787,6.4161e-05,0.034983,0.04586,-0.15346
0.76006,124,2,-605.39,3.9367,0.043965,-0.88205,0.0035847,4.6092e-05,-0.17506,-0.13862,-0.092634
0.76006,132,2,-605.39,3.8024,0.12391,-1.0065,0.0023236,1.8475e-05,-0.16649,-0.094853,0.12029
0.76006,140,2,-605.39,3.7466,0.13722,-0.86526,0.0021223,1.3243e-05,0.27188,0.14726,-0.022285
0.76006,148,2,-605.39,3.7675,0.067988,-0.48719,0.0023948,1.8089e-05,-0.03747,0.015611,-0.056514
0.76006,156,2,-605.39,3.7886,0.013492,-0.25328,0.0032723,2.5571e-05,-0.028332,-0.031844,0.029096
0.76006,164,2,-605.39,3.9251,-0.005358,-0.37633,0.0053669,7.7287e-05,-0.040266,-0.065584,-0.0027657
0.76006,172,2,-605.39,4.2628,-0.032008,-0.34044,0.0092771,0.00026009,-0.20411,-0.106,0.0936
0.76006,180,2,-605.39,4.4509,0.015876,0.29629,0.010858,0.00036994,0.22068,0.066434,0.024059
0.76006,188,2,-605.39,4.1011,0.14919,0.69804,0.0060069,0.00010531,-0.28,-0.093376,-0.066642
0.76006,4,2,-595.55,4.7553,0.33222,0.085877,0.014203,0.00057868,-0.10782,-0.099162,0.077152
0.76006,12,2,-595.55,4.345,0.10815,0.076142,0.0086546,0.0002579,0.33604,0.25493,-2.9529e-05
0.76006,20,2,-595.55,4.5961,0.055977,0.89759,0.013124,0.00054873,0.29322,0.27512,0.012362
1.3215,28,2,-595.55,5.0921,0.15148,1.4631,0.022524,0.001352,0.14178,0.05951,-0.10101
0.99713,36,2,-595.55,5.7638,0.18314,0.76057,0.043434,0.0035196,-0.50326,-0.35637,-0.0016793
0.7269,44,2,-595.55,6.3289,0.12208,-0.37828,0.057291,0.0054332,-0.26691,-0.24185,0.056926
0.73284,52,2,-595.55,6.2646,0.11515,-0.753,0.056564,0.0051134,0.11985,0.11555,0.11691
0.72494,60,2,-595.55,5.529,0.20314,-0.46753,0.028611,0.0020273,0.48079,0.385,0.059347
0.76006,68,2,-595.55,4.7539,0.23524,-0.29926,0.011496,0.00050799,0.267,0.17831,-0.23125
0.76006,76,2,-595.55,4.5986,0.074895,-0.44474,0.010018,0.00041479,-0.4789,-0.31728,-0.12278
1.4595,84,2,-595.55,5.1485,-0.17681,-0.51827,0.024794,0.0016458,-0.25504,-0.24134,0.037108
0.7791,92,2,-595.55,5.7124,-0.20008,-0.27655,0.036894,0.0029549,0.051028,-0.0045628,0.00053704
0.83586,100,2,-595.55,5.6254,0.051819,-0.26385,0.033716,0.0024868,0.023547,0.075917,0.0020109
1.0962,108,2,-595.55,5.3718,0.13921,-0.85489,0.032754,0.0023116,0.31029,0.21661,0.067077
0.63415,116,2,-595.55,6.0855,-0.22476,-1.0771,0.04785,0.0045998,0.034983,0.04586,-0.15346
0.52469,124,2,-595.55,7.6395,-0.60815,-0.42144,0.10915,0.014641,-0.17506,-0.13862,-0.092634
0.56603,132,2,-595.55,8.1736,-0.4035,0.11746,0.14333,0.02058,-0.16649,-0.094853,0.12029
0.53733,140,2,-595.55,6.9553,0.035105,-0.15759,0.06991,0.0074064,0.27188,0.14726,-0.022285
0.9905,148,2,-595.55,5.4453,0.18945,-0.42019,0.02738,0.0017584,-0.03747,0.015611,-0.056514
0.76006,156,2,-595.55,4.6723,0.083124,-0.2664,0.013717,0.00054196,-0.028332,-0.031844,0.029096
0.76006,164,2,-595.55,4.4362,-0.02244,-0.41002,0.01288,0.00044495,-0.040266,-0.065584,-0.0027657
0.76006,172,2,-595.55,4.5334,-0.030361,-0.61987,0.014315,0.00054448,-0.20411,-0.106,0.0936
1.683,180,2,-595.55,5.031,-0.036404,-0.064208,0.023195,0.0012952,0.22068,0.066434,0.024059
1.1016,188,2,-595.55,5.4894,-0.017536,0.65162,0.032203,0.0017654,-0.28,-0.093376,-0.066642
0.73647,4,2,-585.7,6.4279,-0.072729,0.20389,0.061404,0.0043568,-0.10782,-0.099162,0.077152
0.62703,12,2,-585.7,6.1493,-0.12933,0.21929,0.048003,0.0043211,0.33604,0.25493,-2.9529e-05
0.66856,20,2,-585.7,6.1832,-0.056706,0.45774,0.054194,0.0052035,0.29322,0.27512,0.012362
0.57861,28,2,-585.7,6.7643,-0.067284,0.37233,0.072336,0.0080746,0.14178,0.05951,-0.10101
0.62516,36,2,-585.7,7.4614,-0.16108,-0.094472,0.11024,0.014004,-0.50326,-0.35637,-0.0016793
0.56012,44,2,-585.7,7.6783,-0.1732,-0.41391,0.11108,0.014271,-0.26691,-0.24185,0.056926
0.59105,52,2,-585.7,7.6258,-0.18549,-0.27478,0.11629,0.014616,0.11985,0.11555,0.11691
0.5216,60,2,-585.7,7.7542,-0.22013,0.016347,0.11632,0.016342,0.48079,0.385,0.059347
0.40347,68,2,-585.7,7.762,-0.18013,0.067155,0.091947,0.012342,0.267,0.17831,-0.23125
0.4619,76,2,-585.7,7.4511,-0.24632,0.048802,0.082647,0.011015,-0.4789,-0.31728,-0.12278
0.56564,84,2,-585.7,7.4182,-0.43795,0.28678,0.10103,0.013556,-0.25504,-0.24134,0.037108
0.48267,92,2,-585.7,7.9383,-0.43802,0.66772,0.11749,0.015653,0.051028,-0.0045628,0.00053704
0.49069,100,2,-585.7,8.3057,-0.29902,0.62564,0.13517,0.019389,0.023547,0.075917,0.0020109
0.57979,108,2,-585.7,7.8347,-0.30094,0.15355,0.12146,0.016252,0.31029,0.21661,0.067077
0.49015,116,2,-585.7,6.7897,-0.25472,-0.099883,0.056943,0.0059376,0.034983,0.04586,-0.15346
0.72981,124,2,-585.7,5.95,0.0095948,0.37545,0.038643,0.003198,-0.17506,-0.13862,-0.092634
0.81628,132,2,-585.7,6.0961,-0.023396,1.0072,0.055564,0.0051386,-0.16649,-0.094853,0.12029
0.56718,140,2,-585.7,7.1694,-0.32379,0.89201,0.093041,0.011263,0.27188,0.14726,-0.022285
0.55242,148,2,-585.7,7.5502,-0.20485,0.66792,0.10441,0.0132,-0.03747,0.015611,-0.056514
0.63393,156,2,-585.7,6.4999,-0.0039155,0.73203,0.0568,0.0054264,-0.028332,-0.031844,0.029096
1.3082,164,2,-585.7,5.3593,-0.15312,0.52266,0.030079,0.0018812,-0.040266,-0.065584,-0.0027657
0.76006,172,2,-585.7,4.9059,-0.19891,-0.11788,0.019417,0.00096469,-0.20411,-0.106,0.0936
0.76006,180,2,-585.7,4.5998,0.1133,-0.42702,0.012456,0.0004615,0.22068,0.066434,0.024059
0.76006,188,2,-585.7,4.0027,0.41147,0.026519,0.0043943,5.117e-05,-0.28,-0.093376,-0.066642
0.9812,4,2,-575.86,5.6809,0.36435,-0.77283,0.042444,0.002609,-0.10782,-0.099162,0.077152
0.58505,12,2,-575.86,6.7141,0.19227,-0.60515,0.074106,0.008197,0.33604,0.25493,-2.9529e-05
0.54485,20,2,-575.86,7.7284,0.032675,-0.10324,0.11984,0.016418,0.29322,0.27512,0.012362
0.49108,28,2,-575.86,7.5929,0.070119,0.43712,0.095552,0.012081,0.14178,0.05951,-0.10101
0.72701,36,2,-575.86,6.4312,0.080247,0.60439,0.055781,0.0050982,-0.50326,-0.35637,-0.0016793
1.32,44,2,-575.86,5.3519,0.037904,0.4803,0.025634,0.0015812,-0.26691,-0.24185,0.056926
0.76006,52,2,-575.86,4.7841,0.0142,0.34871,0.017445,0.00080767,0.11985,0.11555,0.11691
0.76006,60,2,-575.86,4.4701,0.038131,0.49074,0.0096865,0.00031077,0.48079,0.385,0.059347
0.76006,68,2,-575.86,4.1405,0.068911,0.7103,0.0038362,7.0211e-05,0.267,0.17831,-0.23125
0.76006,76,2,-575.86,3.8824,0.062343,0.83226,0.0020027,1.8642e-05,-0.4789,-0.31728,-0.12278
0.76006,84,2,-575.86,3.909,0.10638,0.77986,0.0027831,3.2664e-05,-0.25504,-0.24134,0.037108
0.76006,92,2,-575.86,4.1687,0.23071,0.54116,0.0068397,0.00016125,0.051028,-0.0045628,0.00053704
0.76006,100,2,-575.86,4.4402,0.31451,0.43821,0.011047,0.00039732,0.023547,0.075917,0.0020109
0.76006,108,2,-575.86,4.6967,0.22942,0.7428,0.016722,0.00075609,0.31029,0.21661,0.067077
0.76006,116,2,-575.86,4.9103,0.046884,1.0213,0.01581,0.00081424,0.034983,0.04586,-0.15346
0.76006,124,2,-575.86,4.8267,-0.047197,0.99445,0.015378,0.00073673,-0.17506,-0.13862,-0.092634
0.76006,132,2,-575.86,4.5172,-0.02333,0.79678,0.012562,0.0004458,-0.16649,-0.094853,0.12029
0.76006,140,2,-575.86,4.3918,0.10539,0.5885,0.01062,0.00035115,0.27188,0.14726,-0.022285
0.76006,148,2,-575.86,4.6021,0.27031,0.62043,0.013814,0.00056874,-0.03747,0.015611,-0.056514
1.5845,156,2,-575.86,5.0417,0.29214,0.66062,0.023269,0.0013518,-0.028332,-0.031844,0.029096
0.96716,164,2,-575.86,5.7743,0.078872,0.56951,0.049444,0.0040779,-0.040266,-0.065584,-0.0027657
0.68746,172,2,-575.86,6.9728,-0.31019,0.35405,0.09702,0.01159,-0.20411,-0.106,0.0936
0.56651,180,2,-575.86,7.9589,-0.4331,0.30412,0.13366,0.017959,0.22068,0.066434,0.024059
0.56491,188,2,-575.86,7.5852,-0.080891,0.46341,0.097408,0.0086308,-0.28,-0.093376,-0.066642
0.57715,4,2,-566.02,8.083,-0.3174,-1.4993,0.13402,0.015015,-0.10782,-0.099162,0.077152
0.46511,12,2,-566.02,8.0777,-0.45579,-0.61056,0.11617,0.015841,0.33604,0.25493,-2.9529e-05
0.52025,20,2,-566.02,7.2904,-0.10148,0.44086,0.083104,0.009735,0.29322,0.27512,0.012362
0.71617,28,2,-566.02,5.7639,0.46487,0.7907,0.029908,0.002104,0.14178,0.05951,-0.10101
0.76006,36,2,-566.02,4.325,0.54382,0.59844,0.0074881,0.00017449,-0.50326,-0.35637,-0.0016793
0.76006,44,2,-566.02,3.7683,0.13258,0.54389,0.0024407,1.3138e-05,-0.26691,-0.24185,0.056926
0.76006,52,2,-566.02,3.9478,-0.10673,0.57106,0.0051929,7.104e-05,0.11985,0.11555,0.11691
0.76006,60,2,-566.02,4.1634,0.023223,0.46625,0.0060561,0.00013715,0.48079,0.385,0.059347
0.76006,68,2,-566.02,4.1123,0.24972,0.26807,0.0040101,7.2403e-05,0.267,0.17831,-0.23125
0.76006,76,2,-566.02,3.8903,0.33401,0.10569,0.0022395,2.0694e-05,-0.4789,-0.31728,-0.12278
0.76006,84,2,-566.02,3.7581,0.25844,-0.23666,0.001468,8.2157e-06,-0.25504,-0.24134,0.037108
0.76006,92,2,-566.02,3.7828,0.18766,-0.71973,0.0019604,1.2651e-05,0.051028,-0.0045628,0.00053704
0.76006,100,2,-566.02,3.7607,0.14314,-0.76354,0.0017348,1.0054e-05,0.023547,0.075917,0.0020109
0.76006,108,2,-566.02,3.6336,0.1147,-0.18778,0.00088485,2.2899e-06,0.31029,0.21661,0.067077
0.76006,116,2,-566.02,3.5429,0.096455,0.60108,0.00024916,1.6343e-07,0.034983,0.04586,-0.15346
0.76006,124,2,-566.02,3.6177,0.065049,1.0288,0.0010486,3.8854e-06,-0.17506,-0.13862,-0.092634
0.76006,132,2,-566.02,3.9083,-0.007628,0.81784,0.0043843,6.0379e-05,-0.16649,-0.094853,0.12029
0.76006,140,2,-566.02,4.3152,-0.06946,0.20878,0.0104,0.00033065,0.27188,0.14726,-0.022285
0.76006,148,2,-566.02,4.6679,-0.046127,-0.33274,0.015037,0.00066028,-0.03747,0.015611,-0.056514
0.76006,156,2,-566.02,4.9224,0.03684,-0.60159,0.019643,0.0010242,-0.028332,-0.031844,0.029096
1.7957,164,2,-566.02,5.0839,0.11761,-0.56162,0.026424,0.0015323,-0.040266,-0.065584,-0.0027657
1.6775,172,2,-566.02,5.0912,0.20126,-0.21392,0.024726,0.0014215,-0.20411,-0.106,0.0936
1.6107,180,2,-566.02,5.0614,0.27285,0.3578,0.023225,0.0012983,0.22068,0.066434,0.024059
1.3098,188,2,-566.02,5.2998,0.22838,0.60761,0.029508,0.0015655,-0.28,-0.093376,-0.066642
0.76006,4,2,-556.17,4.7981,-0.052702,-0.68318,0.017149,0.00076655,-0.10782,-0.099162,0.077152
0.76006,12,2,-556.17,4.7993,0.10549,0.35124,0.015996,0.0007787,0.33604,0.25493,-2.9529e-05
0.76006,20,2,-556.17,4.9077,0.25963,0.7873,0.018084,0.000922,0.29322,0.27512,0.012362
0.76006,28,2,-556.17,4.7619,0.28333,0.27155,0.014469,0.00064774,0.14178,0.05951,-0.10101
0.76006,36,2,-556.17,4.3086,0.15272,-0.10954,0.0086384,0.00024005,-0.50326,-0.35637,-0.0016793
0.76006,44,2,-556.17,4.079,0.014445,0.1433,0.0068989,0.00014361,-0.26691,-0.24185,0.056926
0.76006,52,2,-556.17,4.4331,-0.054138,0.34912,0.013556,0.00052729,0.11985,0.11555,0.11691
0.97403,60,2,-556.17,5.1628,-0.069562,0.035074,0.024746,0.001611,0.48079,0.385,0.059347
0.5977,68,2,-556.17,5.7455,-0.076897,-0.26616,0.031461,0.0025809,0.267,0.17831,-0.23125
0.68019,76,2,-556.17,5.8685,-0.080952,-0.28642,0.032871,0.0028032,-0.4789,-0.31728,-0.12278
0.92153,84,2,-556.17,5.6152,0.05301,-0.7594,0.0323,0.0024593,-0.25504,-0.24134,0.037108
1.0685,92,2,-556.17,5.295,0.17728,-1.4979,0.025601,0.0016655,0.051028,-0.0045628,0.00053704
1.2219,100,2,-556.17,5.1601,0.11327,-1.3213,0.023618,0.001464,0.023547,0.075917,0.0020109
1.4023,108,2,-556.17,5.1138,-0.043164,-0.22372,0.02575,0.0015858,0.31029,0.21661,0.067077
1.2694,116,2,-556.17,5.0656,-0.13841,0.73521,0.018819,0.0010754,0.034983,0.04586,-0.15346
1.4692,124,2,-556.17,5.1331,-0.18084,1.1079,0.022,0.0013341,-0.17506,-0.13862,-0.092634
1.2878,132,2,-556.17,5.3091,-0.24073,1.0608,0.02999,0.0020329,-0.16649,-0.094853,0.12029
0.8783,140,2,-556.17,5.5028,-0.31611,0.78689,0.031852,0.0022572,0.27188,0.14726,-0.022285
0.85413,148,2,-556.17,5.659,-0.29539,0.25212,0.035808,0.0027071,-0.03747,0.015611,-0.056514
0.89268,156,2,-556.17,5.6337,-0.12589,-0.40883,0.034448,0.0024862,-0.028332,-0.031844,0.029096
1.3406,164,2,-556.17,5.3287,0.058833,-0.79299,0.030943,0.0019644,-0.040266,-0.065584,-0.0027657
0.76006,172,2,-556.17,4.9525,0.16677,-0.8684,0.020981,0.0010965,-0.20411,-0.106,0.0936
0.76006,180,2,-556.17,4.8632,0.14746,-0.78118,0.019029,0.00094305,0.22068,0.066434,0.024059
1.4925,188,2,-556.17,5.1893,0.040948,-0.64522,0.027308,0.0014055,-0.28,-0.093376,-0.066642
0.76111,4,2,-546.33,6.2345,-0.23584,0.21818,0.052044,0.0034106,-0.10782,-0.099162,0.077152
0.6174,12,2,-546.33,6.1328,0.22651,-0.53335,0.045118,0.0039476,0.33604,0.25493,-2.9529e-05
0.67264,20,2,-546.33,5.9856,0.44617,-0.83446,0.04247,0.0035583,0.29322,0.27512,0.012362
0.85477,28,2,-546.33,5.5211,0.33997,-0.62656,0.02809,0.001908,0.14178,0.05951,-0.10101
0.76006,36,2,-546.33,4.9443,0.19436,-0.33192,0.019629,0.0009812,-0.50326,-0.35637,-0.0016793
0.76006,44,2,-546.33,4.616,0.12794,-0.15247,0.013967,0.0005734,-0.26691,-0.24185,0.056926
0.76006,52,2,-546.33,4.5923,0.11733,-0.26756,0.015412,0.00064677,0.11985,0.11555,0.11691
0.76006,60,2,-546.33,4.7405,0.12251,-0.71418,0.015574,0.00075162,0.48079,0.385,0.059347
0.95552,68,2,-546.33,5.1188,0.09687,-0.87888,0.019305,0.0012166,0.267,0.17831,-0.23125
