x, y
0.5229590581056303, -0.0010325261030642988
1.2182573524880926, 0.004005332278676778
2.0713486954007503, 0.015745068931885528
2.7738389575311113, 0.02529938496774693
3.5040707084370806, 0.04241694736901704
4.158494197020903, 0.04241694736901704
4.842135852168875, 0.07067563376380069
5.580018981690289, 0.11063295540308424
6.326494188270219, 0.12148783744308975
7.269349310136245, 0.17191310071753413
7.885083840660268, 0.19038994542110385
8.759771140465602, 0.2182161862799723
9.367099545948927, 0.2579459822639033
10.007086230326003, 0.3000109254254782
10.742963994949397, 0.3270753223157792
11.496769721761089, 0.3720655114514606
12.09638294156403, 0.3960337979400226
12.802123717888183, 0.4319256030950199
13.425021047216134, 0.47547577501843796
14.06899840774027, 0.5243061568442339
14.622555688071689, 0.556981336395528
15.402505903976566, 0.5988109739922448
16.021122690776743, 0.6435235818283962
16.63077731954177, 0.6794927457062134
17.27068925849992, 0.7247301304571294
17.904924191737678, 0.7751872473233232
18.527148812295295, 0.8317128403946322
19.16844262997408, 0.8862569051939388
19.593930015681952, 0.9324167229888777
