x, y
0.5756244979751284, 0.0008795701463692462
0.8173265714859718, 0.0008795701463692462
1.165541778496144, 0.0009051117360668845
1.9231576986140742, 0.0014802378764999131
2.425476082742085, 0.005075730394051368
3.5648150342571014, 0.005112721661889327
4.502946610258791, 0.014256610773643848
5.152230895526687, 0.02172620464349456
5.487513322003629, 0.03600395328447438
6.143048876576353, 0.06421566664073364
6.468592521884911, 0.056411683452887405
6.940496812745954, 0.06723603301785205
7.868638025437507, 0.05379146864769865
7.868638025437507, 0.05379146864769865
8.768447078238035, 0.1468115896745712
9.526516940046516, 0.15880233850239467
10.165183729708897, 0.20078449168357032
10.755087337287426, 0.2565268093374851
11.438955051751176, 0.281881681206989
12.058226316731707, 0.3159829328497347
12.835717226048013, 0.39979487041837247
13.169446406258489, 0.35874513205190606
13.719142447631718, 0.44509684309725955
14.204989493710993, 0.44823199983727197
14.706728145077577, 0.5103133290400536
15.451836057408856, 0.5428634428762765
16.21173809351053, 0.5645803997028116
16.940779386890675, 0.6464855254888499
17.500061072476438, 0.6984547338232928
17.894412433554056, 0.7420938609384164
18.2718239304204, 0.7669025244443288
18.803201874979717, 0.7809113524397565
19.421477749747233, 0.8185687566802895
19.78477694690851, 0.8913346906584256
20.311389415246534, 0.8786306855987583
20.787667224644256, 0.9428407741911673
21.165117005749565, 0.958918617742849
21.499414980367476, 1.018187583054728
22.460312917138687, 1.0758311344429177
22.821858331543698, 1.1084232304323218
